ID,ProlificApprovals,FluentLanguages,Age,Gender,Ethnicity,CountryBirth,CountryResidence,Nationality,Language,Student,Employment,StartDate_Part1,EndDate_Part1,Progress_Part1,DurationSeconds_Part1,Finished_Part1,RecordedDate_Part1,Consent1_Part1,Consent2_Part1,Consent3_Part1,Consent4_Part1,Consent5_Part1,Consent6_Part1,Consent7_Part1,NoDI1_Comp,NoDI1_TryAgain,NoDI1_Take,NoDI1_Nothing,NoDI2_Comp,NoDI2_TryAgain,NoDI2_Take,NoDI2_Nothing,NoDI3_Comp,NoDI3_TryAgain,NoDI3_Take,NoDI3_Nothing,NoDI4_Comp,NoDI4_TryAgain,NoDI4_Take,NoDI4_Nothing,DI_Comp,DI_TryAgain,DI_Take,DI_Nothing,3PP_Comp,3PP_TryAgain,3PP_Take,3PP_Nothing,DaysWeek,DaysWeek_TryAgain,P2_Decision,Explain,SelfRate_1,SelfRate_2,SelfRate_3,SelfRate_4,SelfRate_5,SelfRate_6,SelfRate_7,SelfRate_8,SelfRate_9,SelfRate_10,SelfRate_11,DecisionConsequences,DecisionConsequences_Text,StartDate_Part2,EndDate_Part2,Progress_Part2,DurationSeconds_Part2,Finished_Part2,RecordedDate_Part2,Consent1_Part2,Consent2_Part2,Consent3_Part2,Consent4_Part2,Consent5_Part2,Consent6_Part2,SDO_1,SDO_2,SDO_3r,SDO_4r,SDO_5,SDO_6,SDO_7r,SDO_8r,SVO_01,SVO_02,SVO_03,SVO_04,SVO_05,SVO_06,SVO_07,SVO_08,SVO_09,SVO_10,SVO_11,SVO_12,SVO_13,SVO_14,SVO_15,Pers_E1,Pers_A1,Pers_C1,Pers_N1,Pers_O1,Pers_Narc1,Pers_E2r,Pers_A2r,Pers_O2r,Pers_C2,Pers_C3r,Pers_Narc2,Pers_O3r,Pers_A3,Pers_N2r,Pers_N3,Pers_N4r,Pers_HonHum1r,Pers_E3r,Pers_A4r,Pers_O4r,Pers_C4r,Pers_E4,Pers_HonHum2r,GodControls,HowReligious,RWA_1r,RWA_2,RWA_3,RWA_4r,RWA_5r,RWA_6,Education,SES_1,BringDown_1,BringUp_1,PolSlider_19,WeeksYear,WeeksYear_TryAgain,Breakfast
1,50,English,54,Female,White,South Africa,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2022-11-28T08:05:57Z,2022-11-28T08:15:39Z,100,582,TRUE,2022-11-28T08:15:41Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,Being fair to all parties involved,42,79,41,86,27,22,0,1,75,28,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,212,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2022-11-28T08:14:31Z,2022-11-28T08:26:12Z,100,701,TRUE,2022-11-28T08:26:13Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.40","I would have £0.40, Player 2 would have £0.40",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,"I tried to be fair so that if they took my bonus I was more likely to pay to take some of theirs, however when they had not chosen to or when the computer chose I did not penalise them as I would also lose money",50,82,84,51,17,69,0,0,35,66,48,NA,NA,2022-12-05T17:05:00Z,2022-12-05T17:12:00Z,100,424,TRUE,2022-12-05T17:12:00Z,Yes,Yes,Yes,Yes,Yes,Yes,2 - Somewhat oppose,1 - Strongly oppose,7 - Strongly favour,6 - Somewhat favour,2 - Somewhat oppose,2 - Somewhat oppose,6 - Somewhat favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","85
|
|
75","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","96
|
|
91","93
|
|
88",2,6,6,5,6,Very inaccurate (1),2,2,2,Very accurate (7),2,4,2,6,2,5,2,Very inaccurate (1),4,3,2,Very inaccurate (1),2,4,Somewhat agree,4,Slightly disagree,Neither agree nor disagree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Completed university,4,3,5,21,52,NA,toast
3,730,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month,2022-11-28T08:21:09Z,2022-11-28T08:32:18Z,100,669,TRUE,2022-11-28T08:32:19Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,"I have no idea, I did what I felt was right.",4,0,0,65,52,2,17,1,52,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1262,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2022-11-28T08:23:22Z,2022-11-28T08:32:42Z,100,560,TRUE,2022-11-28T08:32:42Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,trying to be fair and equal as possible,13,10,14,94,66,46,2,0,29,47,42,NA,NA,2022-12-05T08:49:00Z,2022-12-05T08:55:00Z,100,349,TRUE,2022-12-05T08:55:00Z,Yes,Yes,Yes,Yes,Yes,Yes,2 - Somewhat oppose,4 - Neutral,6 - Somewhat favour,6 - Somewhat favour,6 - Somewhat favour,2 - Somewhat oppose,6 - Somewhat favour,5 - Slightly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","93
|
|
88",3,5,4,4,6,2,5,2,4,6,2,4,2,4,4,3,4,3,5,3,2,3,3,4,Somewhat disagree,1 - Not at all religious,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Diploma / other professional certificate,6,2,5,49,NA,NA,Toast
5,315,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,NA,NA,2022-11-28T08:21:39Z,2022-11-28T08:32:59Z,100,679,TRUE,2022-11-28T08:32:59Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,If player 2 was greedy and wanted more money than me then I took away the 30p from them. If we were even in money I didn't take any further money from them. If they had less than me I didn't take any money from them,54,7,71,87,62,61,0,6,32,43,53,NA,NA,2022-12-06T02:50:00Z,2022-12-06T03:01:00Z,100,687,TRUE,2022-12-06T03:01:00Z,Yes,Yes,Yes,Yes,Yes,Yes,5 - Slightly favour,5 - Slightly favour,5 - Slightly favour,5 - Slightly favour,4 - Neutral,3 - Slightly oppose,5 - Slightly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","96
|
|
91","93
|
|
88",5,6,4,Very inaccurate (1),3,2,Very inaccurate (1),Very inaccurate (1),5,5,Very inaccurate (1),3,Very accurate (7),4,6,2,6,5,3,Very inaccurate (1),5,2,5,5,Neutral,3,Somewhat disagree,Slightly disagree,Very strongly disagree,Strongly agree,Slightly disagree,Slightly agree,Masters degree,7,2,3,50,52,NA,I had cadburys chocolate fingers as I had just finished a night shift
6,473,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2022-11-28T08:21:08Z,2022-11-28T08:33:31Z,100,742,TRUE,2022-11-28T08:33:32Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I believe in fairness and splitting rewards as equally as possible.,50,0,100,100,100,53,0,0,56,0,0,NA,NA,2022-12-05T17:43:00Z,2022-12-05T17:52:00Z,100,498,TRUE,2022-12-05T17:52:00Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,2 - Somewhat oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","93
|
|
93","93
|
|
88",2,6,4,2,6,Very inaccurate (1),4,5,Very inaccurate (1),6,4,Very inaccurate (1),Very inaccurate (1),5,4,3,3,Very inaccurate (1),4,4,2,Very accurate (7),2,2,Somewhat disagree,1 - Not at all religious,Somewhat agree,Very strongly disagree,Very strongly disagree,Very strongly agree,Strongly agree,Neither agree nor disagree,Completed university,4,6,Strongly agree (7),4,52,NA,cereal
7,865,English,58,Female,White,United States,United Kingdom,United Kingdom,English,No,NA,2022-11-28T08:22:33Z,2022-11-28T08:33:44Z,100,670,TRUE,2022-11-28T08:33:44Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20","I would have £0.40, Player 2 would have £0.40",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.70, Player 2 would have £0.40","I would have £0.40, Player 2 would have £0.40",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,"I'm not sure but I think it might be to gauge how we would react if someone ""took"" something from us - would we lose something ourselves in order to get some kind of revenge?",0,0,0,70,0,0,0,0,100,0,0,NA,NA,2022-12-05T11:12:00Z,2022-12-05T11:20:00Z,100,466,TRUE,2022-12-05T11:20:00Z,Yes,Yes,Yes,Yes,Yes,Yes,3 - Slightly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,3 - Slightly oppose,4 - Neutral,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","50
|
|
100","75
|
|
75","85
|
|
85","81
|
|
81","90
|
|
100","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","90
|
|
100",3,Very accurate (7),4,2,Very accurate (7),3,3,Very inaccurate (1),Very inaccurate (1),4,5,4,Very inaccurate (1),5,5,2,4,Very inaccurate (1),4,Very inaccurate (1),Very inaccurate (1),2,5,6,Slightly agree,3,Slightly agree,Very strongly disagree,Slightly disagree,Neither agree nor disagree,Very strongly disagree,Neither agree nor disagree,High School,2,Strongly disagree (1),Strongly agree (7),16,52,NA,coffee
8,209,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,NA,NA,2022-11-28T08:20:26Z,2022-11-28T08:34:30Z,100,843,TRUE,2022-11-28T08:34:30Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I was trying to make the potential payouts as fair and equal as possible for all players,23,0,14,100,1,0,0,0,69,0,0,NA,NA,2022-12-05T20:04:00Z,2022-12-05T20:15:00Z,100,662,TRUE,2022-12-05T20:15:00Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,5 - Slightly favour,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94",Very inaccurate (1),Very accurate (7),3,5,5,Very inaccurate (1),2,Very inaccurate (1),Very inaccurate (1),6,Very inaccurate (1),4,Very inaccurate (1),Very accurate (7),5,6,5,Very inaccurate (1),5,Very inaccurate (1),2,4,2,Very inaccurate (1),Strongly disagree,1 - Not at all religious,Strongly agree,Very strongly disagree,Very strongly disagree,Very strongly agree,Slightly disagree,Somewhat agree,Completed university,7,Strongly agree (7),Strongly agree (7),11,52,NA,fruit toast
9,797,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2022-11-28T08:19:26Z,2022-11-28T08:35:07Z,100,940,TRUE,2022-11-28T08:35:08Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £1.30, Player 1 would have £0.50, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,"fairness and equalling it out, tbh its not a high amount of money so i do not see the need to take more unless someone is greedy. I assume larger sums of money would make people react differently",70,20,5,100,68,53,9,2,35,12,37,NA,NA,2022-12-05T12:19:00Z,2022-12-05T12:23:00Z,100,260,TRUE,2022-12-05T12:23:00Z,Yes,Yes,Yes,Yes,Yes,Yes,4 - Neutral,4 - Neutral,5 - Slightly favour,4 - Neutral,5 - Slightly favour,5 - Slightly favour,4 - Neutral,4 - Neutral,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","90
|
|
100","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","90
|
|
100",4,5,5,6,6,2,3,4,3,5,5,4,4,5,5,5,2,4,4,4,4,5,5,4,Strongly disagree,1 - Not at all religious,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Masters degree,3,3,4,52,52,NA,Cereal
10,2304,"English, Scots",44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,2022-11-28T08:19:10Z,2022-11-28T08:35:14Z,100,963,TRUE,2022-11-28T08:35:14Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.50, Player 2 would have £0.00","I would have £0.40, Player 2 would have £0.00",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.20","I would have £0.40, Player 2 would have £0.20",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £1.30, Player 1 would have £0.50, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I felt that it was pointless paying to reduce the other player's bonus since I'd end up with a lower bonus anyway.,6,57,55,57,29,7,9,11,60,43,23,NA,NA,2022-12-05T09:08:00Z,2022-12-05T09:23:00Z,100,872,TRUE,2022-12-05T09:23:00Z,Yes,Yes,Yes,Yes,Yes,Yes,2 - Somewhat oppose,2 - Somewhat oppose,6 - Somewhat favour,6 - Somewhat favour,2 - Somewhat oppose,2 - Somewhat oppose,6 - Somewhat favour,6 - Somewhat favour,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","93
|
|
88",Very inaccurate (1),5,3,2,6,3,4,2,2,4,5,4,2,6,5,2,4,4,6,2,2,5,3,4,Somewhat disagree,1 - Not at all religious,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Completed university,3,3,5,19,52,NA,A bowl of porridge
