Variable,Description
ID,Unique participant identifier
ProlificApprovals,Data from Prolific
FluentLanguages,Data from Prolific
Age,Data from Prolific
Gender,Data from Prolific
Ethnicity,Data from Prolific
CountryBirth,Data from Prolific
CountryResidence,Data from Prolific
Nationality,Data from Prolific
Language,Data from Prolific
Student,Data from Prolific
Employment,Data from Prolific
StartDate_Part1,Data from Qualtrics
EndDate_Part1,Data from Qualtrics
Progress_Part1,Data from Qualtrics
DurationSeconds_Part1,Data from Qualtrics
Finished_Part1,Data from Qualtrics
RecordedDate_Part1,Data from Qualtrics
Consent1_Part1,Consent
Consent2_Part1,Consent
Consent3_Part1,Consent
Consent4_Part1,Consent
Consent5_Part1,Consent
Consent6_Part1,Consent
Consent7_Part1,Consent
NoDI1_Comp,"Game [Field-counter] of 7





Before you decide how to respond to Player 2's behaviour, we would like to check that you have understood the game.

 

In Stage 1, you have £0.70 and Player 2 has £0.10.

 

In Stage 2, imagine that Player 2 takes £0.20 from you.

You would then have £0.50 and Player 2 would have £0.30.

 

In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?"
NoDI1_TryAgain,"You answered that question incorrectly. Please try again.

 

 

In Stage 1, you have £0.70 and Player 2 has £0.10.



In Stage 2, imagine that Player 2 takes £0.20 from you.

You would then have £0.50 and Player 2 would have £0.30.



In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?"
NoDI1_Take,"Game [Field-counter] of 7





Imagine that Player 2 TAKES £0.20 of your bonus in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?"
NoDI1_Nothing,"Game [Field-counter] of 7





Imagine that Player 2 DOES NOTHING in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?"
NoDI2_Comp,"Game [Field-counter] of 7



Before you decide how to respond to Player 2's behaviour, we would like to check that you have understood the game.

 

In Stage 1, you have £0.70 and Player 2 has £0.30.

 

In Stage 2, imagine that Player 2 takes £0.20 from you.

You would then have £0.50 and Player 2 would have £0.50.

 

In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?"
NoDI2_TryAgain,"You answered that question incorrectly. Please try again.

 

 

In Stage 1, you have £0.70 and Player 2 has £0.30.



In Stage 2, imagine that Player 2 takes £0.20 from you. 
You would then have £0.50 and Player 2 would have £0.50.



In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?"
NoDI2_Take,"Game [Field-counter] of 7



Imagine that Player 2 TAKES £0.20 of your bonus in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?"
NoDI2_Nothing,"Game [Field-counter] of 7



Imagine that Player 2 DOES NOTHING in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?"
