Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638db016418c3ff5be73914e,62aa33eec600b41d4dc4b4e8,APPROVED,2022-12-05T08:47:52.638000Z,2022-12-05T09:46:06.444000Z,2022-12-05T09:46:06.658000Z,,3494,Manual Completion,255,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
638db0193fe9effd515f2a50,5c72aec2aa7a7700018f25c8,APPROVED,2022-12-05T08:47:34.083000Z,2022-12-05T08:56:42.296000Z,2022-12-05T12:46:57.145000,2022-12-05T08:56:42.705032Z,549,C648PKXQ,1930,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db019b44517854af9248c,5fc757608807641dca45f00a,APPROVED,2022-12-05T08:47:33.588000Z,2022-12-05T09:11:58.963000Z,2022-12-05T12:46:57.242000,2022-12-05T09:11:59.800215Z,1466,C648PKXQ,125,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db01a629fbc4936f29d1d,5c5c1528f1c982000151090a,APPROVED,2022-12-05T08:47:25.795000Z,2022-12-05T08:51:58.504000Z,2022-12-05T12:46:57.346000,2022-12-05T08:51:58.905284Z,273,C648PKXQ,296,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db01c460e494cd8889c1f,6346aea12dc3f3c3fc16eee6,APPROVED,2022-12-05T08:48:04.308000Z,2022-12-05T09:00:21.010000Z,2022-12-05T12:46:57.446000,2022-12-05T09:00:21.416207Z,737,C648PKXQ,63,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db01dd1ac15343c987561,55885582fdf99b4021921fbd,APPROVED,2022-12-05T08:47:25.047000Z,2022-12-05T08:59:18.199000Z,2022-12-05T12:46:57.543000,2022-12-05T08:59:18.635416Z,714,C648PKXQ,3035,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638db02138fc3b59749875be,5d1e0b068777b50001f52b0e,APPROVED,2022-12-05T08:47:32.773000Z,2022-12-05T08:53:44.761000Z,2022-12-05T12:46:57.643000,2022-12-05T08:53:45.126227Z,372,C648PKXQ,1444,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638db023d48d4b5c39bf2fe9,5aff33bae55f90000139f664,APPROVED,2022-12-05T08:47:31.067000Z,2022-12-05T08:58:18.795000Z,2022-12-05T12:46:57.739000,2022-12-05T08:58:19.173880Z,648,C648PKXQ,955,35,Male,White,Italy,United Kingdom,Italy,Italian,No,Part-Time
638db0244641f0b3902b39e4,632881a28fcc3aae4da242e2,APPROVED,2022-12-05T08:47:36.008000Z,2022-12-05T09:04:54.076000Z,2022-12-05T12:46:57.838000,2022-12-05T09:04:54.456432Z,1039,C648PKXQ,101,18,Male,Asian,Turkey,United Kingdom,United Kingdom,Other,Yes,Other
638db025ef8f76ada4d83b3e,63483069e7c6931be7b56fe9,APPROVED,2022-12-05T08:47:38.191000Z,2022-12-05T08:53:59.777000Z,2022-12-05T12:46:57.942000,2022-12-05T08:54:00.099571Z,382,C648PKXQ,134,32,Male,Other,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
