StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PROLIFIC ID,Q1
05/12/2022 12:02,05/12/2022 12:03,IP Address,2.25.244.76,100,37,TRUE,05/12/2022 12:03,R_3kNxs42he0L9rPj,,,,,51.5131,-3.1588,anonymous,EN,5601379877f33b0010cb2b98,High School
05/12/2022 12:17,05/12/2022 12:17,IP Address,82.0.68.104,100,30,TRUE,05/12/2022 12:17,R_22Y1eo72UkFGlCR,,,,,55.9139,-4.3311,anonymous,EN,5697bfa17183b8000d0fbcbf,High School
05/12/2022 16:19,05/12/2022 16:20,IP Address,90.213.153.20,100,43,TRUE,05/12/2022 16:20,R_2aE3eUBf8qtPFMs,,,,,51.2067,-0.5315,anonymous,EN,5717864c94d4fc001297198d,Completed university
05/12/2022 11:51,05/12/2022 11:51,IP Address,86.1.203.183,100,16,TRUE,05/12/2022 11:51,R_susjsQDZRC4M42R,,,,,52.5299,-1.0945,anonymous,EN,57655a2aea19ef00016351cf,Completed university
05/12/2022 15:51,05/12/2022 15:51,IP Address,90.222.68.158,100,32,TRUE,05/12/2022 15:51,R_3oRQBXujiPbE4S7,,,,,53.7287,-2.6559,anonymous,EN,594ea461c6a70f00010aaa8d,Completed university
06/12/2022 14:06,06/12/2022 14:07,IP Address,81.107.159.25,100,24,TRUE,06/12/2022 14:07,R_2rZ00GThDSlTXv8,,,,,55.805,-4.2899,anonymous,EN,59e675a6c0d35a00012951ce,Completed university
05/12/2022 13:26,05/12/2022 13:27,IP Address,86.19.233.162,100,51,TRUE,05/12/2022 13:27,R_324NnbTlGE1oQSE,,,,,53.1149,-2.1808,anonymous,EN,59e9e46a1c947e00012b2621,High School
05/12/2022 12:35,05/12/2022 12:35,IP Address,82.11.114.250,100,21,TRUE,05/12/2022 12:35,R_eu0lqbHuY8TrQxr,,,,,50.8431,-1.064,anonymous,EN,5b97a1e083bd380001b92485,PhD or equivalent
05/12/2022 11:51,05/12/2022 11:52,IP Address,82.42.240.159,100,41,TRUE,05/12/2022 11:52,R_tYUeZhtb8QAtkIN,,,,,55.8026,-4.0804,anonymous,EN,5bf2f728bd9f150001f6cc42,Completed university
05/12/2022 14:23,05/12/2022 14:24,IP Address,51.241.63.106,100,27,TRUE,05/12/2022 14:24,R_1OPMkoqa4TsbkIT,,,,,53.5389,-2.4165,anonymous,EN,5c60501d767686000100150c,High School
05/12/2022 18:35,05/12/2022 18:35,IP Address,144.32.240.156,100,29,TRUE,05/12/2022 18:35,R_3ELsTRjzlQyMZCa,,,,,53.9573,-1.0837,anonymous,EN,5c6fd0be04b76500015f9db9,Diploma / other professional certificate
05/12/2022 12:03,05/12/2022 12:03,IP Address,51.187.33.146,100,15,TRUE,05/12/2022 12:03,R_2af9fWsqOOci09y,,,,,51.6004,-0.1168,anonymous,EN,5ca650fc557aec0012e200d8,PhD or equivalent
