StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_19
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"So that we can match your responses here to the previous responses you gave, please enter your Prolific Participant ID here:","Political views are often organised on a single scale from left to right. For example, in the United States, the Democratic Party is described as more to the left and the Republican Party is described as more to the right. If you had to place your political views on this left-right scale, generally speaking, where would you put yourself?"
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211044321_TEXT""}","{""ImportId"":""QID1211095111_19""}"
2022-12-05 11:51:57,2022-12-05 11:52:41,IP Address,92.5.76.0,100,44,True,2022-12-05 11:52:42,R_W0qIu1GTqcnixQ5,,,,,52.4606,-1.9238,anonymous,EN,573dbfc9cc30e7000dc57410,20
2022-12-05 11:53:37,2022-12-05 11:54:16,IP Address,92.15.72.172,100,39,True,2022-12-05 11:54:16,R_zZs6abZsfvy1cXf,,,,,52.5279,-2.0705,anonymous,EN,5f50f760e54a5429ae196f12,23
2022-12-05 11:56:24,2022-12-05 11:57:45,IP Address,92.12.24.16,100,80,True,2022-12-05 11:57:45,R_1CjVXuh6IvJboIM,,,,,50.6077,-2.4593,anonymous,EN," 5f017162f1a82a2aeb59524d",78
2022-12-05 11:57:11,2022-12-05 11:57:58,IP Address,212.42.172.237,100,47,True,2022-12-05 11:57:58,R_3HOJ2SyS2wfMKP0,,,,,51.4854,-0.3051,anonymous,EN,62d9be690206e1b4f007eacb,74
2022-12-05 11:58:12,2022-12-05 11:58:51,IP Address,85.115.53.201,100,39,True,2022-12-05 11:58:51,R_wRG7awIsiFJYKel,,,,,51.5269,-0.0991,anonymous,EN,6144711edbbb2ce35dcf6b11,21
2022-12-05 11:54:37,2022-12-05 12:00:20,IP Address,80.6.175.19,100,343,True,2022-12-05 12:00:20,R_6eV7YyYHi9uQjBv,,,,,53.5769,-2.7185,anonymous,EN," 5c64561ab84cf50001b59f09",25
2022-12-05 12:03:20,2022-12-05 12:04:18,IP Address,2.25.183.41,100,58,True,2022-12-05 12:04:19,R_1Nh3oSEVtPcgaRO,,,,,55.9632,-3.2546,anonymous,EN,60d6e4277e58667c5ce46f7f,29
2022-12-05 12:07:16,2022-12-05 12:07:50,IP Address,51.198.139.210,100,34,True,2022-12-05 12:07:51,R_1IZtk0RgVG0ql6q,,,,,52.3842,-2.2224,anonymous,EN,5b14532ce9270900013c5bf6,81
2022-12-05 12:08:47,2022-12-05 12:09:15,IP Address,87.74.57.3,100,28,True,2022-12-05 12:09:16,R_3QDWXITHwVQm5X6,,,,,52.926,-1.4334,anonymous,EN,60a80fbd13aba726d46b8f2e,31
2022-12-05 12:11:39,2022-12-05 12:12:12,IP Address,90.241.238.193,100,32,True,2022-12-05 12:12:12,R_wZcMnTKxtUOCFSp,,,,,53.4809,-2.2374,anonymous,EN,62d133d8355730e56a6722dc,68
2022-12-05 12:12:51,2022-12-05 12:13:46,IP Address,146.198.216.121,100,54,True,2022-12-05 12:13:46,R_6mMUqJTNdSsTRaV,,,,,55.7506,-4.2075,anonymous,EN," 60375d67dde85cad87f3c99d",61
2022-12-05 12:15:15,2022-12-05 12:16:05,IP Address,185.113.92.13,100,50,True,2022-12-05 12:16:05,R_3RxVLivIcFxSDfF,,,,,51.4964,-0.1224,anonymous,EN,59c4f0a2916c4d000109428a,55
2022-12-05 12:15:59,2022-12-05 12:16:56,IP Address,90.243.94.255,100,57,True,2022-12-05 12:16:56,R_28V8phAvVcvsvUO,,,,,53.5012,-2.4112,anonymous,EN,5d1c9d39ff67e3000140ca87,1
2022-12-05 12:19:42,2022-12-05 12:21:03,IP Address,90.255.245.241,100,81,True,2022-12-05 12:21:03,R_2XnUN9OBJgV4JiB,,,,,52.0675,-0.7569,anonymous,EN,575d08ef85d90500061ef59b,80
2022-12-05 12:22:38,2022-12-05 12:23:36,IP Address,51.14.230.130,100,58,True,2022-12-05 12:23:37,R_1PSklmhwoGsSB9c,,,,,52.2445,0.7186,anonymous,EN,622a35c96d9060c175184c93,12
2022-12-05 12:24:51,2022-12-05 12:25:44,IP Address,82.38.208.199,100,53,True,2022-12-05 12:25:44,R_3O7kOCFC6ZD2yqD,,,,,55.9552,-3.2,anonymous,EN,5cf6e4aae289a80019b6e032,14
2022-12-05 12:30:57,2022-12-05 12:31:28,IP Address,185.205.172.89,100,30,True,2022-12-05 12:31:28,R_1rDt2Bo3Nuf2Y5t,,,,,53.4809,-2.2374,anonymous,EN,5e918309b3f91e4bb747a462,25
2022-12-05 12:31:32,2022-12-05 12:32:09,IP Address,86.183.62.54,100,37,True,2022-12-05 12:32:10,R_3M5Jr6lec2bcT7W,,,,,53.0962,-1.1113,anonymous,EN,593ead9ea514380001e5cf86,50
2022-12-05 12:32:39,2022-12-05 12:34:08,IP Address,94.15.61.118,100,89,True,2022-12-05 12:34:08,R_RFadQUZeaDWazVT,,,,,52.3298,-0.0741,anonymous,EN," 62a33c442c64c9d129b53f32",25
2022-12-05 12:37:06,2022-12-05 12:53:09,IP Address,109.153.206.49,100,962,True,2022-12-05 12:53:09,R_CdyDs089v3R6IfL,,,,,52.0488,-0.3595,anonymous,EN,62ed08434085fad9eefdfe1a,75
2022-12-05 12:54:31,2022-12-05 12:55:25,IP Address,94.15.5.246,100,54,True,2022-12-05 12:55:26,R_10uVVVB2QBA0U5i,,,,,54.5396,-5.975,anonymous,EN," 5a9e9fc46219a30001f54994",52
2022-12-05 12:58:50,2022-12-05 12:59:08,IP Address,109.148.35.203,100,18,True,2022-12-05 12:59:09,R_1NzjhC3ZLNGL5Gm,,,,,50.7572,-1.8955,anonymous,EN,607f441b91a96d298ca2d347,51
2022-12-05 13:01:53,2022-12-05 13:02:48,IP Address,81.147.42.58,100,55,True,2022-12-05 13:02:49,R_VKoN4UzEsSSPpcJ,,,,,52.8058,-0.1636,anonymous,EN,6268f4810cd59e084565cfef,73
2022-12-05 13:07:52,2022-12-05 13:08:22,IP Address,85.211.147.127,100,29,True,2022-12-05 13:08:22,R_sRIIlKWyju1zQUF,,,,,53.1969,-3.0352,anonymous,EN,5f3e6467a097d9057137d439,51
2022-12-05 13:10:49,2022-12-05 13:11:24,IP Address,77.102.180.182,100,34,True,2022-12-05 13:11:24,R_BVzGI10bkrskOad,,,,,51.4534,-2.5077,anonymous,EN,5e47c3608b051d26181ccf1c,38
2022-12-05 13:15:17,2022-12-05 13:16:36,IP Address,80.189.206.65,100,78,True,2022-12-05 13:16:36,R_12yI2CdVGSl0onc,,,,,52.0618,1.156,anonymous,EN,5ee0edcb962eba464f486b40,78
2022-12-05 13:15:52,2022-12-05 13:16:48,IP Address,90.204.99.152,100,55,True,2022-12-05 13:16:48,R_4OunHWClzUIE0UN,,,,,53.2007,-2.0358,anonymous,EN,5d20c6d5b1e50a001c19e622,18
2022-12-05 13:19:28,2022-12-05 13:20:17,IP Address,146.200.180.136,100,49,True,2022-12-05 13:20:17,R_OQeRJZSkFISldQZ,,,,,52.3958,-1.4796,anonymous,EN,5e18bf202d112418cfd94a3b,21
2022-12-05 13:31:29,2022-12-05 13:33:14,IP Address,86.13.143.128,100,104,True,2022-12-05 13:33:14,R_11iTwTqfYvfNLUF,,,,,53.5866,-2.4354,anonymous,EN,5f04d99fac08ac7b22af01be,39
2022-12-05 13:51:47,2022-12-05 13:52:41,IP Address,81.108.213.140,100,53,True,2022-12-05 13:52:41,R_u8LswQm0ZnXqY1j,,,,,54.5245,-1.551,anonymous,EN," 5bdad3fa0bde32000170745b",51
2022-12-05 13:55:06,2022-12-05 13:55:39,IP Address,92.27.139.6,100,32,True,2022-12-05 13:55:39,R_2S1Q9ompXeDKyo9,,,,,52.4145,-1.7841,anonymous,EN,6320a0456c8a837509e58686,55
2022-12-05 13:58:19,2022-12-05 13:58:46,IP Address,82.32.252.128,100,26,True,2022-12-05 13:58:46,R_2CqDI5Jr7LvKOnX,,,,,52.4422,-1.7241,anonymous,EN,60de3c34940c209d729e32b8,33
2022-12-05 14:02:36,2022-12-05 14:03:20,IP Address,143.159.79.181,100,44,True,2022-12-05 14:03:20,R_OwJembIOwzB0glX,,,,,53.4495,-2.6171,anonymous,EN,607c91819b498b5a39bb8cbd,16
2022-12-05 14:07:10,2022-12-05 14:10:10,IP Address,31.126.8.60,100,180,True,2022-12-05 14:10:11,R_1ePrGruPFAEEOjU,,,,,54.571,-1.316,anonymous,EN,60dc963e81e24696fb377f61,62
2022-12-05 15:56:40,2022-12-05 15:57:33,IP Address,91.236.56.4,100,53,True,2022-12-05 15:57:34,R_2Bhtl5ROUI8SdzJ,,,,,51.443,-0.3295,anonymous,EN,62c5e64838ab530bf60cacef,29
2022-12-05 18:13:41,2022-12-05 18:14:42,IP Address,86.141.116.112,100,61,True,2022-12-05 18:14:42,R_ve34GNeZZ0nv9cZ,,,,,53.8534,-1.9191,anonymous,EN,58106d17a513590001b1ec9e,10
2022-12-05 18:26:37,2022-12-05 18:27:09,IP Address,109.157.21.108,100,32,True,2022-12-05 18:27:10,R_0dBtlnypNGb6zF7,,,,,52.4422,-1.7241,anonymous,EN,6060b2cead1daacd69adb31f,36
2022-12-05 18:28:29,2022-12-05 18:29:02,IP Address,109.157.21.108,100,33,True,2022-12-05 18:29:02,R_12um78pug8TaVG3,,,,,52.4422,-1.7241,anonymous,EN,6060b2cead1daacd69adb31f,28
