StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,RWA_1r,RWA_2,RWA_3,RWA_4r,RWA_5r,RWA_6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"So that we can match your responses here to the previous responses you gave,  enter your Prolific Participant ID here: 

 




 

If we do not have your correct Prolific ID we will not be able to pay you.","Task [Field-counter] of 8



 
Please indicate your agreement / disagreement with the following statements - It's great that many young people today are prepared to defy authority.","Task [Field-counter] of 8



 
Please indicate your agreement / disagreement with the following statements - What our country needs most is discipline, with everyone following our leaders in unity.","Task [Field-counter] of 8



 
Please indicate your agreement / disagreement with the following statements - God's laws about abortion, pornography, and marriage must be strictly followed before it is too late.","Task [Field-counter] of 8



 
Please indicate your agreement / disagreement with the following statements - There is nothing wrong with premarital sexual intercourse.","Task [Field-counter] of 8



 
Please indicate your agreement / disagreement with the following statements - Our society does NOT need tougher government and stricter laws.","Task [Field-counter] of 8



 
Please indicate your agreement / disagreement with the following statements - The facts on crime and the recent public disorders show we have to crack down harder on troublemakers, if we are going to preserve law and order."
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211044321_TEXT""}","{""ImportId"":""QID1211095027_1""}","{""ImportId"":""QID1211095027_2""}","{""ImportId"":""QID1211095027_3""}","{""ImportId"":""QID1211095027_4""}","{""ImportId"":""QID1211095027_5""}","{""ImportId"":""QID1211095027_6""}"
2022-12-05 11:30:32,2022-12-05 11:31:04,IP Address,94.3.240.107,100,31,True,2022-12-05 11:31:04,R_AjQF6tWrTnGXF73,,,,,54.1667,-6.4833,anonymous,EN,5a46d551b77a5000014a8ce9,Very strongly agree,Very strongly disagree,Very strongly disagree,Very strongly agree,Strongly agree,Very strongly disagree
2022-12-05 11:31:24,2022-12-05 11:31:51,IP Address,82.132.232.218,100,26,True,2022-12-05 11:31:51,R_2YywKJfrH9rSYp5,,,,,51.6263,-0.0981,anonymous,EN,5f744d89a37f7b1e74d264a2,Strongly agree,Somewhat disagree,Slightly disagree,Strongly agree,Somewhat agree,Slightly disagree
2022-12-05 11:31:26,2022-12-05 11:32:01,IP Address,31.111.31.112,100,34,True,2022-12-05 11:32:01,R_3OcOnCyo1uRv6tR,,,,,51.3577,1.0638,anonymous,EN,5e5012ec47808406305d6a0d,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Very strongly agree,Slightly agree
2022-12-05 11:30:27,2022-12-05 11:32:22,IP Address,82.36.144.25,100,115,True,2022-12-05 11:32:23,R_1QtrvjnFmPE141n,,,,,51.476,-0.4133,anonymous,EN,5a5b6255f6c5170001950ae0,Somewhat disagree,Slightly disagree,Very strongly disagree,Strongly agree,Slightly disagree,Somewhat agree
2022-12-05 11:31:21,2022-12-05 11:32:23,IP Address,90.204.86.184,100,61,True,2022-12-05 11:32:23,R_1LLPREySRYYGlm9,,,,,51.4986,0.0441,anonymous,EN,5dfb7cbd01423f8a774d893b,Very strongly disagree,Neither agree nor disagree,Very strongly agree,Very strongly agree,Very strongly disagree,Strongly agree
2022-12-05 11:31:23,2022-12-05 11:32:46,IP Address,146.90.51.113,100,82,True,2022-12-05 11:32:46,R_3shQ4NG0LjMVNeV,,,,,53.8531,-2.213,anonymous,EN,611578fe8cbea39bf4928b6d,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree
2022-12-05 11:32:13,2022-12-05 11:33:29,IP Address,80.44.119.208,100,76,True,2022-12-05 11:33:29,R_1JDYQj5K7QrTosK,,,,,50.8483,-0.4472,anonymous,EN,5e0b3d5dbf3d4e3868abc3ea,Very strongly agree,Strongly disagree,Strongly disagree,Very strongly agree,Slightly disagree,Somewhat disagree
2022-12-05 11:32:14,2022-12-05 11:34:13,IP Address,217.33.179.245,100,118,True,2022-12-05 11:34:13,R_2S0m8yeOhpON24F,,,,,51.418,-0.1752,anonymous,EN,62c4590804317dc197ecbe8a,Somewhat disagree,Slightly disagree,Slightly disagree,Strongly agree,Slightly disagree,Strongly agree
