StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1,Q2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"So that we can match your responses here to the previous responses you gave,  enter your Prolific Participant ID here:","Please rate the extent to which you agree with the following statement:

It is likely that God, or some other type of spiritual non-human entity, controls the events in the world",How religious are you?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211044321_TEXT""}","{""ImportId"":""QID1211095086""}","{""ImportId"":""QID1211095087""}"
2022-12-05 11:42:02,2022-12-05 11:42:34,IP Address,2.26.219.3,100,32,True,2022-12-05 11:42:35,R_1jW0sdDUoTl6994,,,,,54.8161,-1.3695,anonymous,EN,5697bfa17183b8000d0fbcbf,Strongly disagree,2
2022-12-05 11:41:57,2022-12-05 11:43:29,IP Address,31.111.10.1,100,91,True,2022-12-05 11:43:29,R_s4Ji6EnjVfktZKN,,,,,53.7099,-2.1095,anonymous,EN,629ee9680199e14b1bfafaf3,Somewhat disagree,3
2022-12-05 11:43:29,2022-12-05 11:44:11,IP Address,86.158.103.195,100,41,True,2022-12-05 11:44:11,R_232CFdGIS7YgdQR,,,,,56.0186,-3.6165,anonymous,EN," 62b626b7cc2365d4e7f5c5aa",Strongly disagree,1 - Not at all religious
2022-12-05 11:45:28,2022-12-05 11:45:55,IP Address,90.217.176.40,100,26,True,2022-12-05 11:45:55,R_3kb4fHsxBEAB1gs,,,,,52.5062,-1.9425,anonymous,EN,5eadaff848b26f4483ae62d9,Strongly disagree,1 - Not at all religious
2022-12-05 11:49:00,2022-12-05 11:50:06,IP Address,86.24.57.183,100,65,True,2022-12-05 11:50:06,R_1n7rfKeVK4N0R2h,,,,,53.2145,-0.5711,anonymous,EN,63468b1061ea9fad9573cee9,Somewhat disagree,2
2022-12-05 11:50:00,2022-12-05 11:50:23,IP Address,84.69.251.157,100,22,True,2022-12-05 11:50:24,R_1MRKVY1f3K7qCPF,,,,,54.8454,-1.882,anonymous,EN,62b8b2be4c2b1d481f4f68c0,Strongly disagree,2
2022-12-05 11:57:37,2022-12-05 11:58:02,IP Address,80.5.194.252,100,25,True,2022-12-05 11:58:02,R_1jm4MLGjDfzOe6I,,,,,51.07,-1.7979,anonymous,EN,6349c2dd13c733ec1c9c2896,Neutral,2
2022-12-05 11:56:02,2022-12-05 11:59:27,IP Address,109.149.183.38,100,205,True,2022-12-05 11:59:27,R_eJ1pAYGbpYuDuBH,,,,,52.0435,1.1842,anonymous,EN,60886f033e4f5c214da0c898,Somewhat agree,4
