StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,SDO_1,SDO_2,SDO_3r,SDO_4r,SDO_5,SDO_6,SDO_7r,SDO_8r
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"So that we can match your responses here to the previous responses you gave,  enter your Prolific Participant ID here: 

 




 

If we do not have your correct Prolific ID we will not be able to pay you.","Task [Field-counter] of 8
 

Show how much you favour or oppose each idea below by selecting a number from 1 to 7 on the scale below.

 

You can work quickly; your first feeling is generally best. - An ideal society requires some groups to be on top and others to be on the bottom.","Task [Field-counter] of 8
 

Show how much you favour or oppose each idea below by selecting a number from 1 to 7 on the scale below.

 

You can work quickly; your first feeling is generally best. - Some groups of people are simply inferior to other groups.","Task [Field-counter] of 8
 

Show how much you favour or oppose each idea below by selecting a number from 1 to 7 on the scale below.

 

You can work quickly; your first feeling is generally best. - No one group should dominate in society.","Task [Field-counter] of 8
 

Show how much you favour or oppose each idea below by selecting a number from 1 to 7 on the scale below.

 

You can work quickly; your first feeling is generally best. - Groups at the bottom are just as deserving as groups at the top.","Task [Field-counter] of 8
 

Show how much you favour or oppose each idea below by selecting a number from 1 to 7 on the scale below.

 

You can work quickly; your first feeling is generally best. - Group equality should not be our primary goal.","Task [Field-counter] of 8
 

Show how much you favour or oppose each idea below by selecting a number from 1 to 7 on the scale below.

 

You can work quickly; your first feeling is generally best. - It is unjust to try to make groups equal.","Task [Field-counter] of 8
 

Show how much you favour or oppose each idea below by selecting a number from 1 to 7 on the scale below.

 

You can work quickly; your first feeling is generally best. - We should do what we can to equalize conditions for different groups.","Task [Field-counter] of 8
 

Show how much you favour or oppose each idea below by selecting a number from 1 to 7 on the scale below.

 

You can work quickly; your first feeling is generally best. - We should work to give all groups an equal chance to succeed."
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211044321_TEXT""}","{""ImportId"":""QID1211094685_1""}","{""ImportId"":""QID1211094685_2""}","{""ImportId"":""QID1211094685_3""}","{""ImportId"":""QID1211094685_4""}","{""ImportId"":""QID1211094685_5""}","{""ImportId"":""QID1211094685_6""}","{""ImportId"":""QID1211094685_7""}","{""ImportId"":""QID1211094685_8""}"
2022-12-05 11:14:39,2022-12-05 11:15:09,IP Address,87.75.80.3,100,30,True,2022-12-05 11:15:09,R_1myp9WqfZ3SaBAJ,,,,,53.8826,-2.0494,anonymous,EN,5d4310bbd8e961001b825ca4,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour
2022-12-05 11:14:38,2022-12-05 11:15:35,IP Address,78.145.103.102,100,56,True,2022-12-05 11:15:36,R_C3LfFlmQJIKYySB,,,,,53.5039,-2.1959,anonymous,EN,637f7b94e67e5f28b0233f44,3 - Slightly oppose,5 - Slightly favour,7 - Strongly favour,7 - Strongly favour,3 - Slightly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour
2022-12-05 11:14:55,2022-12-05 11:15:48,IP Address,94.11.140.78,100,53,True,2022-12-05 11:15:49,R_2pVnPPC3rp5M5KA,,,,,53.3376,-1.4771,anonymous,EN,5f75a669c9ebb3229be4a8db,6 - Somewhat favour,2 - Somewhat oppose,6 - Somewhat favour,6 - Somewhat favour,5 - Slightly favour,3 - Slightly oppose,6 - Somewhat favour,6 - Somewhat favour
2022-12-05 11:15:17,2022-12-05 11:15:52,IP Address,79.79.217.246,100,35,True,2022-12-05 11:15:53,R_1ONVn4M9wlFic2Q,,,,,51.4643,-0.0119,anonymous,EN,5ea047d315537303f1e60ef9,4 - Neutral,3 - Slightly oppose,5 - Slightly favour,5 - Slightly favour,5 - Slightly favour,5 - Slightly favour,3 - Slightly oppose,5 - Slightly favour
2022-12-05 11:15:02,2022-12-05 11:15:55,IP Address,86.189.228.108,100,52,True,2022-12-05 11:15:55,R_3p9e3wR6PzBxh4C,,,,,51.713,-1.8659,anonymous,EN,5b7bf6c98c721a00015d1feb,5 - Slightly favour,4 - Neutral,4 - Neutral,5 - Slightly favour,3 - Slightly oppose,4 - Neutral,4 - Neutral,4 - Neutral
2022-12-05 11:15:25,2022-12-05 11:15:56,IP Address,94.0.50.65,100,31,True,2022-12-05 11:15:56,R_8IWTjO3n9lbePCx,,,,,52.5778,-2.0961,anonymous,EN,5ffb432901d8311622530a52,4 - Neutral,2 - Somewhat oppose,7 - Strongly favour,5 - Slightly favour,5 - Slightly favour,4 - Neutral,5 - Slightly favour,5 - Slightly favour
2022-12-05 11:15:01,2022-12-05 11:16:00,IP Address,77.101.112.159,100,59,True,2022-12-05 11:16:01,R_217jJdaGnpQRVo5,,,,,51.8781,-2.3419,anonymous,EN,600a97750a20c621b3d6d358,4 - Neutral,4 - Neutral,5 - Slightly favour,4 - Neutral,6 - Somewhat favour,5 - Slightly favour,5 - Slightly favour,7 - Strongly favour
2022-12-05 11:14:16,2022-12-05 11:16:07,IP Address,5.69.198.7,100,111,True,2022-12-05 11:16:08,R_2zTiifh0TCG5F92,,,,,52.3958,-1.4796,anonymous,EN,60dba539f83a896ab389fa7e,4 - Neutral,1 - Strongly oppose,4 - Neutral,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour
