StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,SVO_01,SVO_02,SVO_03,SVO_04,SVO_05,SVO_06,SVO_07,SVO_08,SVO_09,SVO_10,SVO_11,SVO_12,SVO_13,SVO_14,SVO_15
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"So that we can match your responses here to the previous responses you gave,  enter your Prolific Participant ID here: 

 




 

If we do not have your correct Prolific ID we will not be able to pay you.","Please indicate below how you would like to distribute money between yourself and the other player

 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives","Please indicate how you would like to distribute money between yourself and the other player



 

You Receive

|

|

Other Receives"
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211044321_TEXT""}","{""ImportId"":""QID1211094771""}","{""ImportId"":""QID1211094772""}","{""ImportId"":""QID1211094773""}","{""ImportId"":""QID1211094774""}","{""ImportId"":""QID1211094775""}","{""ImportId"":""QID1211094776""}","{""ImportId"":""QID1211094777""}","{""ImportId"":""QID1211094778""}","{""ImportId"":""QID1211094779""}","{""ImportId"":""QID1211094780""}","{""ImportId"":""QID1211094781""}","{""ImportId"":""QID1211094782""}","{""ImportId"":""QID1211094783""}","{""ImportId"":""QID1211094784""}","{""ImportId"":""QID1211094785""}"
05/12/2022 11:07,05/12/2022 11:08,IP Address,2.100.180.70,100,72,TRUE,05/12/2022 11:09,R_uskRn0Mxf5zLoMF,,,,,57.7186,-3.2612,anonymous,EN,62e416f154e4c9e7f39d5cf7,"85
|
|
33","96
|
|
41","76
|
|
89","81
|
|
26","69
|
|
81","89
|
|
76","100
|
|
50","96
|
|
94","100
|
|
70","100
|
|
70","85
|
|
85","69
|
|
96","88
|
|
63","96
|
|
91","90
|
|
100"
05/12/2022 11:08,05/12/2022 11:10,IP Address,86.162.70.249,100,95,TRUE,05/12/2022 11:10,R_1H7a8V3P15teO30,,,,,50.9097,-0.2687,anonymous,EN,62aa33eec600b41d4dc4b4e8,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50"
05/12/2022 11:08,05/12/2022 11:11,IP Address,82.20.18.182,100,161,TRUE,05/12/2022 11:11,R_1lnOyPqVsrEno5g,,,,,52.1932,0.1426,anonymous,EN,5a5e14fc8e625900017626a9,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50"
05/12/2022 11:09,05/12/2022 11:11,IP Address,95.150.251.150,100,125,TRUE,05/12/2022 11:11,R_27DttSBP6rSWCOd,,,,,50.9973,-0.1053,anonymous,EN,595804ea8b58be00012c25a1,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","93
|
|
93","93
|
|
88"
05/12/2022 11:08,05/12/2022 11:11,IP Address,90.200.210.128,100,190,TRUE,05/12/2022 11:11,R_2dfKJ0FGb4cKBvy,,,,,51.6485,-0.7801,anonymous,EN,63480174a917528e8a0316b2,"85
|
|
85",100||50,"50
|
|
100","50
|
|
100","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","50
|
|
100","90
|
|
100","100
|
|
70","50
|
|
100","100
|
|
50","70
|
|
100","95
|
|
75"
05/12/2022 11:09,05/12/2022 11:11,IP Address,86.10.21.210,100,121,TRUE,05/12/2022 11:11,R_1ONziw2j4mVPeox,,,,,51.0909,1.1691,anonymous,EN,5d445f038dd58b001afdeb32,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","85
|
|
75","95
|
|
95","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","75
|
|
75","100
|
|
90","95
|
|
75"
05/12/2022 11:09,05/12/2022 11:11,IP Address,139.133.137.21,100,178,TRUE,05/12/2022 11:11,R_3dMxCnjZGXcq3tK,,,,,57.2111,-2.2037,anonymous,EN,60b8a2ea5eb4ad8ae98302f9,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","96
|
|
91","94
|
|
81"
05/12/2022 11:09,05/12/2022 11:12,IP Address,81.111.66.65,100,148,TRUE,05/12/2022 11:12,R_2wgHScRfzrGZGgY,,,,,51.6144,-0.3368,anonymous,EN,62e54956b282b314d6fac945,"85
|
|
15","85
|
|
15","85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50"
