Variable,Description
ID,Unique participant identifier
ProlificApprovals,Data from Prolific
FluentLanguages,Data from Prolific
Age,Data from Prolific
Gender,Data from Prolific
Ethnicity,Data from Prolific
CountryBirth,Data from Prolific
CountryResidence,Data from Prolific
Nationality,Data from Prolific
Language,Data from Prolific
Student,Data from Prolific
Employment,Data from Prolific
StartDate,Start Date
EndDate,End Date
Progress,Progress
DurationSeconds,Duration (in seconds)
Finished,Finished
RecordedDate,Recorded Date
Consent_1,I have read the information above and I consent to take part in this study.
Consent_2,I understand that anonymous data that cannot be traced back to me individually may be used in academic publications and shared in accordance with open science guidelines and I consent to this.
Consent_3,I understand that I can withdraw from the study at any time by closing my browser window but that I will not be paid for my time if I do this.
Consent_4,I understand that once my data have been submitted it may be impossible for me to withdraw from the study.
Consent_5,I understand that there are 2 parts to this study and that my participation is required for Part 2 on 5th December 2022. I consent to Social Evolution & Behaviour lab contacting me using my Prolific ID so that I can complete Part 2 of this study.
Consent_6,I am aged 18 or over.
Consent_7,I understand that if I fail an attention check or do not submit a completion code my submission will be rejected.
NoDI1_Comp,"Game [Field-counter] of 7





Before you decide how to respond to Player 2's behaviour, we would like to check that you have understood the game.

 

In Stage 1, you have £0.70 and Player 2 has £0.10.

 

In Stage 2, imagine that Player 2 takes £0.20 from you.

You would then have £0.50 and Player 2 would have £0.30.

 

In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?"
NoDI1_TryAgain,"You answered that question incorrectly. Please try again.

 

 

In Stage 1, you have £0.70 and Player 2 has £0.10.



In Stage 2, imagine that Player 2 takes £0.20 from you.

You would then have £0.50 and Player 2 would have £0.30.



In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?"
NoDI1_Take,"Game [Field-counter] of 7





Imagine that Player 2 TAKES £0.20 of your bonus in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?"
NoDI1_Nothing,"Game [Field-counter] of 7





Imagine that Player 2 DOES NOTHING in Stage 2.

 

Do you want to pay £0.10 to reduce Player 2's bonus by £0.30?"
NoDI2_Comp,"Game [Field-counter] of 7



Before you decide how to respond to Player 2's behaviour, we would like to check that you have understood the game.

 

In Stage 1, you have £0.70 and Player 2 has £0.30.

 

In Stage 2, imagine that Player 2 takes £0.20 from you.

You would then have £0.50 and Player 2 would have £0.50.

 

In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?"
NoDI2_TryAgain,"You answered that question incorrectly. Please try again.

 

 

In Stage 1, you have £0.70 and Player 2 has £0.30.



In Stage 2, imagine that Player 2 takes £0.20 from you. 
You would then have £0.50 and Player 2 would have £0.50.



In Stage 3, if you decided to pay £0.10 to reduce Player 2's bonus by £0.30, what would the final bonuses for each player be?"
