ID,ProlificApprovals,FluentLanguages,Age,Gender,Ethnicity,CountryBirth,CountryResidence,Nationality,Language,Student,Employment,StartDate_Part1,EndDate_Part1,Progress_Part1,DurationSeconds_Part1,Finished_Part1,RecordedDate_Part1,Consent1_Part1,Consent2_Part1,Consent3_Part1,Consent4_Part1,Consent5_Part1,Consent6_Part1,Consent7_Part1,NoDI1_Comp,NoDI1_TryAgain,NoDI1_Take,NoDI1_Nothing,NoDI2_Comp,NoDI2_TryAgain,NoDI2_Take,NoDI2_Nothing,NoDI3_Comp,NoDI3_TryAgain,NoDI3_Take,NoDI3_Nothing,NoDI4_Comp,NoDI4_TryAgain,NoDI4_Take,NoDI4_Nothing,DI_Comp,DI_TryAgain,DI_Take,DI_Nothing,3PP_Comp,3PP_TryAgain,3PP_Take,3PP_Nothing,DaysWeek,DaysWeek_TryAgain,P2_Decision,Explain,SelfRate_1,SelfRate_2,SelfRate_3,SelfRate_4,SelfRate_5,SelfRate_6,SelfRate_7,SelfRate_8,SelfRate_9,SelfRate_10,SelfRate_11,DecisionConsequences,DecisionConsequences_Text,StartDate_Part2,EndDate_Part2,Progress_Part2,DurationSeconds_Part2,Finished_Part2,RecordedDate_Part2,Consent1_Part2,Consent2_Part2,Consent3_Part2,Consent4_Part2,Consent5_Part2,Consent6_Part2,SDO_1,SDO_2,SDO_3r,SDO_4r,SDO_5,SDO_6,SDO_7r,SDO_8r,SVO_01,SVO_02,SVO_03,SVO_04,SVO_05,SVO_06,SVO_07,SVO_08,SVO_09,SVO_10,SVO_11,SVO_12,SVO_13,SVO_14,SVO_15,Pers_E1,Pers_A1,Pers_C1,Pers_N1,Pers_O1,Pers_Narc1,Pers_E2r,Pers_A2r,Pers_O2r,Pers_C2,Pers_C3r,Pers_Narc2,Pers_O3r,Pers_A3,Pers_N2r,Pers_N3,Pers_N4r,Pers_HonHum1r,Pers_E3r,Pers_A4r,Pers_O4r,Pers_C4r,Pers_E4,Pers_HonHum2r,GodControls,HowReligious,RWA_1r,RWA_2,RWA_3,RWA_4r,RWA_5r,RWA_6,Education,SES_1,BringDown_1,BringUp_1,PolSlider_19,WeeksYear,WeeksYear_TryAgain,Breakfast,YearsLivedCountry
20001,509,English,35,Female,White,United States,United States,United States,English,NA,NA,2023-06-20T10:09:30Z,2023-06-20T10:19:56Z,100,626,TRUE,2023-06-20T10:19:58Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.50, Player 2 would have £0.00","I would have £0.40, Player 2 would have £0.00",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,If they took from me. Then I just didn't want to take from anyone.,49,100,100,100,0,100,0,0,74,0,0,Yes,NA,2023-06-28T18:38:15Z,2023-06-28T18:43:46Z,100,330,TRUE,2023-06-28T18:43:47Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","72
|
|
47","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","93
|
|
93","93
|
|
88",Very accurate (7),Very accurate (7),3,6,Very accurate (7),4,2,4,Very inaccurate (1),Very accurate (7),5,4,Very inaccurate (1),Very accurate (7),4,Very accurate (7),4,3,2,5,Very inaccurate (1),Very inaccurate (1),Very inaccurate (1),4,Neutral,1 - Not at all religious,Strongly disagree,Very strongly disagree,Very strongly disagree,Very strongly agree,Very strongly disagree,Slightly agree,Completed university,3,3,Strongly agree (7),21,52,NA,I haven't eaten yet today.,36
20002,3693,English,24,Male,White,United States,United States,United States,English,No,Full-Time,2023-06-20T10:13:29Z,2023-06-20T10:20:28Z,100,419,TRUE,2023-06-20T10:20:29Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I made these decisions in the games because I did not want to end up losing my own money to make others lose money.  I felt that we would both be losing if I were to spend money to take some of theirs away.,33,60,69,65,48,24,0,5,40,74,12,Yes,NA,2023-06-27T18:46:19Z,2023-06-27T18:51:20Z,100,300,TRUE,2023-06-27T18:51:20Z,Yes,Yes,Yes,Yes,Yes,Yes,4 - Neutral,2 - Somewhat oppose,7 - Strongly favour,5 - Slightly favour,1 - Strongly oppose,3 - Slightly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","72
|
|
47","81
|
|
69","85
|
|
85","85
|
|
75","100
|
|
90","88
|
|
78","93
|
|
93","89
|
|
81","94
|
|
91","81
|
|
69","100
|
|
90","91
|
|
94",3,Very accurate (7),5,2,6,Very inaccurate (1),3,2,3,6,2,2,3,6,Very accurate (7),2,6,4,4,Very inaccurate (1),2,2,5,3,Strongly agree,5 - Very religious,Somewhat disagree,Somewhat agree,Very strongly agree,Strongly disagree,Slightly disagree,Somewhat agree,High School,3,3,Strongly agree (7),65,52,NA,Eggs and toast,24
20003,14,English,66,Male,Black,Nigeria,United States,Nigeria,English,NA,NA,2023-06-20T09:59:53Z,2023-06-20T10:20:53Z,100,1259,TRUE,2023-06-20T10:20:53Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.40","I would have £0.40, Player 2 would have £0.40",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,"To evaluate human behaviour, attitudes and values towards a task",18,49,68,48,56,51,8,80,15,46,11,No,NA,2023-06-27T10:37:04Z,2023-06-27T10:49:45Z,100,761,TRUE,2023-06-27T10:49:46Z,Yes,Yes,Yes,Yes,Yes,Yes,3 - Slightly oppose,1 - Strongly oppose,5 - Slightly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
68",100||50,"63
|
|
94","63
|
|
68","81
|
|
69","85
|
|
85","85
|
|
75","94
|
|
96","100
|
|
70","96
|
|
81","100
|
|
70","94
|
|
91","75
|
|
75","96
|
|
91","93
|
|
88",4,5,5,3,6,4,5,2,2,5,2,5,2,6,5,3,4,4,5,4,2,2,4,5,Strongly agree,5 - Very religious,Strongly disagree,Strongly agree,Very strongly agree,Strongly disagree,Slightly disagree,Somewhat agree,Completed university,5,2,4,14,52,NA,Coffee,66
20004,1905,"English, Korean",67,Male,Asian,Korea,United States,Korea,Korean,No,Part-Time,2023-06-20T10:12:14Z,2023-06-20T10:33:00Z,100,1245,TRUE,2023-06-20T10:33:01Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,Making sure that  I maintain maximum benefit for myself,73,0,90,9,2,0,0,0,50,0,64,Yes,NA,2023-06-27T16:46:42Z,2023-06-27T16:57:22Z,100,640,TRUE,2023-06-27T16:57:24Z,Yes,Yes,Yes,Yes,Yes,Yes,4 - Neutral,2 - Somewhat oppose,6 - Somewhat favour,6 - Somewhat favour,2 - Somewhat oppose,2 - Somewhat oppose,6 - Somewhat favour,6 - Somewhat favour,"85
|
|
85",100||50,"50
|
|
100","68
|
|
58","69
|
|
81","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","89
|
|
94","93
|
|
88",3,6,6,4,5,4,4,4,4,5,3,4,4,4,5,3,3,2,4,3,3,4,6,4,Neutral,3,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Masters degree,6,2,5,45,52,NA,none,51
20005,21,English,54,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time,2023-06-20T10:16:44Z,2023-06-20T10:33:50Z,100,1026,TRUE,2023-06-20T10:33:51Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.80, Player 2 would have £0.20","I would have £0.40, Player 2 would have £0.20",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.40","I would have £0.40, Player 2 would have £0.50",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,just interesting,51,50,23,35,31,45,22,27,25,81,35,No,NA,2023-06-27T10:41:14Z,2023-06-27T11:02:49Z,100,1294,TRUE,2023-06-27T11:02:53Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,4 - Neutral,4 - Neutral,5 - Slightly favour,1 - Strongly oppose,3 - Slightly oppose,2 - Somewhat oppose,7 - Strongly favour,"85
|
|
50",100||50,"76
|
|
89","72
|
|
47","88
|
|
63","93
|
|
68","85
|
|
75","95
|
|
95","75
|
|
85","94
|
|
89","100
|
|
70","100
|
|
90","81
|
|
69","89
|
|
94","95
|
|
75",4,6,6,Very accurate (7),3,6,5,Very inaccurate (1),3,Very accurate (7),Very inaccurate (1),6,5,Very accurate (7),5,4,4,6,5,Very inaccurate (1),4,5,4,5,Strongly agree,5 - Very religious,Neither agree nor disagree,Very strongly agree,Very strongly agree,Very strongly disagree,Very strongly agree,Neither agree nor disagree,Masters degree,7,Strongly disagree (1),4,78,52,NA,tea,4
20006,1217,"English, Vietnamese",36,Male,Asian,Vietnam,United States,Vietnam,Vietnamese,NA,NA,2023-06-20T10:27:08Z,2023-06-20T10:39:29Z,100,741,TRUE,2023-06-20T10:39:30Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,I only choose to punish the other player when I felt like their decision was wrong.  Most of the time I prefer to do nothing because I didn't think anything was wrong even if some of the scenario was unfair.,78,57,68,58,74,83,0,0,16,25,14,Yes,NA,2023-06-27T12:22:06Z,2023-06-27T12:30:51Z,100,525,TRUE,2023-06-27T12:30:52Z,Yes,Yes,Yes,Yes,Yes,Yes,6 - Somewhat favour,2 - Somewhat oppose,5 - Slightly favour,6 - Somewhat favour,7 - Strongly favour,6 - Somewhat favour,4 - Neutral,4 - Neutral,"85
|
|
85",100||50,"81
|
|
87","72
|
|
47","88
|
|
63","91
|
|
72","89
|
|
69","100
|
|
90","88
|
|
78","94
|
|
89","89
|
|
81","100
|
|
90","81
|
|
69","100
|
|
90","93
|
|
88",Very inaccurate (1),5,4,3,4,2,6,3,5,6,2,4,3,4,4,2,4,2,6,3,3,2,3,3,Somewhat agree,5 - Very religious,Strongly disagree,Slightly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Completed university,4,2,5,67,52,NA,I ddn't eat breakfast.,30
20007,198,English,56,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time,2023-06-20T10:09:28Z,2023-06-20T10:39:44Z,100,1816,TRUE,2023-06-20T10:39:45Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.20","I would have £0.70, Player 2 would have £0.20",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.70, Player 2 would have £0.20","I would have £0.50, Player 2 would have £0.20",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.00","I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,"my decision was based on the decision of player 2, if they decided to take part of my bonus or not.",38,84,0,57,68,33,19,2,22,56,28,Yes,NA,2023-06-27T13:24:20Z,2023-06-27T13:40:48Z,100,987,TRUE,2023-06-27T13:40:49Z,Yes,Yes,Yes,Yes,Yes,Yes,6 - Somewhat favour,6 - Somewhat favour,4 - Neutral,3 - Slightly oppose,4 - Neutral,5 - Slightly favour,5 - Slightly favour,5 - Slightly favour,"85
|
|
15",100||50,"85
|
|
85","81
|
|
26","100
|
|
50","96
|
|
59","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","96
|
|
91","96
|
|
69",4,4,5,2,6,4,Very accurate (7),4,5,4,5,4,2,5,6,Very inaccurate (1),3,3,6,4,6,3,5,4,Strongly agree,4,Slightly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Masters degree,7,4,2,26,52,NA,Pancakes,35
20008,2574,"English, Spanish",30,Male,Mixed,United States,United States,United States,Spanish,No,Part-Time,2023-06-20T10:28:27Z,2023-06-20T10:43:55Z,100,927,TRUE,2023-06-20T10:43:56Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,"Fairness was the main motivator. If the player did or didn't deduct from my pay, I would reciprocate accordingly.",74,34,81,34,64,76,9,33,41,27,79,No,NA,2023-06-27T12:04:54Z,2023-06-27T12:12:36Z,100,462,TRUE,2023-06-27T12:12:37Z,Yes,Yes,Yes,Yes,Yes,Yes,3 - Slightly oppose,3 - Slightly oppose,6 - Somewhat favour,6 - Somewhat favour,4 - Neutral,4 - Neutral,5 - Slightly favour,6 - Somewhat favour,"85
|
|
85",100||50,"81
|
|
87","68
|
|
58","100
|
|
50","85
|
|
85","85
|
|
75","100
|
|
90","100
|
|
70","100
|
|
70","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","95
|
|
75",2,6,Very accurate (7),5,6,3,6,5,2,Very accurate (7),3,4,4,6,5,3,3,2,Very accurate (7),6,2,6,3,5,Strongly disagree,1 - Not at all religious,Somewhat disagree,Slightly agree,Strongly disagree,Slightly agree,Slightly disagree,Neither agree nor disagree,High School,2,3,5,15,52,NA,Chicken and rice,30
20009,203,"French, English, Spanish",33,Female,Mixed,United States,United States,United States,English,Yes,Due to start a new job within the next month,2023-06-20T10:33:37Z,2023-06-20T10:46:40Z,100,782,TRUE,2023-06-20T10:46:41Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,I don't want to take anything from anyone. I don't gain anything and I don't need anything. I'm no meanie.,0,21,22,72,61,0,0,0,100,0,0,Yes,NA,2023-06-28T00:13:20Z,2023-06-28T00:21:18Z,100,478,TRUE,2023-06-28T00:21:19Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"50
|
|
100","50
|
|
100","50
|
|
100","85
|
|
85","70
|
|
100","90
|
|
100","50
|
|
100","90
|
|
100","70
|
|
100","50
|
|
100","50
|
|
100","70
|
|
100","90
|
|
100",4,6,5,6,6,Very inaccurate (1),5,Very inaccurate (1),2,5,2,5,Very inaccurate (1),5,Very inaccurate (1),5,Very inaccurate (1),Very inaccurate (1),4,2,Very inaccurate (1),Very inaccurate (1),3,Very inaccurate (1),Neutral,2,Very strongly agree,Very strongly disagree,Very strongly disagree,Very strongly agree,Very strongly agree,Very strongly disagree,Diploma / other professional certificate,2,4,Strongly agree (7),0,52,NA,"Pancakes, orange juice, sausages",31
20010,1443,"French, English",51,Male,White,United States,United States,United States,English,No,Full-Time,2023-06-20T10:41:55Z,2023-06-20T10:49:45Z,100,470,TRUE,2023-06-20T10:49:46Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,I just tried to make things as fair as possible for both players,21,0,0,75,0,13,0,0,6,3,0,Yes,NA,2023-06-27T12:42:33Z,2023-06-27T12:46:56Z,100,262,TRUE,2023-06-27T12:46:57Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","93
|
|
88",2,Very accurate (7),4,Very inaccurate (1),4,Very inaccurate (1),6,Very inaccurate (1),Very inaccurate (1),6,Very inaccurate (1),Very inaccurate (1),3,Very accurate (7),6,2,6,4,6,Very inaccurate (1),2,2,Very inaccurate (1),Very inaccurate (1),Neutral,2,Somewhat agree,Strongly disagree,Very strongly disagree,Very strongly agree,Somewhat agree,Strongly disagree,Masters degree,6,Strongly disagree (1),Strongly agree (7),3,52,NA,toast,51
