Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
649aad3fc6cb5f14b5c6e399,5e5fe64a8278d103d35cac54,APPROVED,2023-06-27T09:35:24.019000Z,2023-06-27T09:41:31.343000Z,2023-06-28T14:10:22.736000,2023-06-27T09:41:31.825398Z,368,C648PKXQ,1544,37,Male,White,United States,United States,United States,English,No,Full-Time
649aad4f7ab0687118197a26,58dcfe010674970001e928e5,RETURNED,2023-06-27T09:35:16.921000Z,2023-06-27T09:54:40.568000Z,,2023-06-27T09:54:41.422000Z,,C648PKXQ,1804,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
649aad5707a9e94e682c81ec,59dc458f77860e000151240e,APPROVED,2023-06-27T09:35:19.972000Z,2023-06-27T09:41:28.997000Z,2023-06-28T14:10:22.915000,2023-06-27T09:41:29.538528Z,370,C648PKXQ,6425,40,Male,White,United States,United States,United States,English,No,Part-Time
649aad5afec1a7ccc29aa3ac,63403b47287756c1978d2985,APPROVED,2023-06-27T09:35:22.648000Z,2023-06-27T09:44:44.775000Z,2023-06-28T14:10:23.079000,2023-06-27T09:44:45.364996Z,563,C648PKXQ,766,26,Male,White,United States,United States,United States,English,Yes,Full-Time
649aad5d789fb76ebae9593f,640c3e718d10af5614ee82ee,APPROVED,2023-06-27T09:35:55.623000Z,2023-06-27T09:59:26.343000Z,2023-06-28T14:10:23.235000,2023-06-27T09:59:26.946629Z,1411,C648PKXQ,261,36,Male,Black,Nigeria,United States,Nigeria,English,No,Full-Time
649aad61a5ad4080b518426b,62ef104b5e9352c2ead31fde,APPROVED,2023-06-27T09:35:33.342000Z,2023-06-27T09:45:22.261000Z,2023-06-28T14:10:23.404000,2023-06-27T09:45:23.019593Z,589,C648PKXQ,3071,59,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
649aad6563efc66aad9e6e48,648069485a19542ff7cbc0ef,APPROVED,2023-06-27T09:35:43.327000Z,2023-06-27T09:55:29.656000Z,2023-06-28T14:10:23.588000,2023-06-27T09:55:30.154798Z,1187,C648PKXQ,97,56,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time
649aad6cfec1a7ccc29aa3b4,5cd6c1197b871a0001b13589,APPROVED,2023-06-27T09:35:47.790000Z,2023-06-27T09:45:54.381000Z,2023-06-28T14:10:23.765000,2023-06-27T09:45:57.277151Z,607,C648PKXQ,5199,62,Female,White,United States,United States,United States,English,No,Full-Time
649aad71b1feddf57518da62,64601d5bf3f4d849a794097c,APPROVED,2023-06-27T09:35:49.805000Z,2023-06-27T09:48:50.017000Z,2023-06-28T14:10:23.921000,2023-06-27T09:48:50.518440Z,781,C648PKXQ,389,48,Female,White,United States,United States,United States,English,Yes,Full-Time
649aad725ee4d16d20a4ee9b,6425da2ae14ac64b0138c3cb,APPROVED,2023-06-27T09:35:46.961000Z,2023-06-27T09:46:04.006000Z,2023-06-28T14:10:24.090000,2023-06-27T09:46:08.951683Z,618,C648PKXQ,658,39,Male,White,United States,United States,United States,English,No,Full-Time
